index,time_s,adc,voltage_v
0,0.000000000,2064,0.005786428
1,0.000416667,2096,0.418594831
2,0.000833333,2128,0.831403234
3,0.001250000,2160,1.244211637
4,0.001666667,2193,1.669920303
5,0.002083333,2225,2.082728706
6,0.002500000,2257,2.495537110
7,0.002916667,2290,2.921245775
8,0.003333333,2322,3.334054178
9,0.003750000,2354,3.746862582
10,0.004166667,2387,4.172571247
11,0.004583333,2419,4.585379651
12,0.005000000,2451,4.998188054
13,0.005416667,2419,4.585379651
14,0.005833333,2387,4.172571247
15,0.006250000,2354,3.746862582
16,0.006666667,2322,3.334054178
17,0.007083333,2290,2.921245775
18,0.007500000,2257,2.495537110
19,0.007916667,2225,2.082728706
20,0.008333333,2193,1.669920303
21,0.008750000,2160,1.244211637
22,0.009166667,2128,0.831403234
23,0.009583333,2096,0.418594831
24,0.010000000,2064,0.005786428
25,0.010416667,2031,-0.419922238
26,0.010833333,1999,-0.832730641
27,0.011250000,1967,-1.245539044
28,0.011666667,1934,-1.671247710
29,0.012083333,1902,-2.084056113
30,0.012500000,1870,-2.496864517
31,0.012916667,1837,-2.922573182
32,0.013333333,1805,-3.335381586
33,0.013750000,1773,-3.748189989
34,0.014166667,1741,-4.160998392
35,0.014583333,1708,-4.586707058
36,0.015000000,1676,-4.999515461
37,0.015416667,1708,-4.586707058
38,0.015833333,1741,-4.160998392
39,0.016250000,1773,-3.748189989
40,0.016666667,1805,-3.335381586
41,0.017083333,1837,-2.922573182
42,0.017500000,1870,-2.496864517
43,0.017916667,1902,-2.084056113
44,0.018333333,1934,-1.671247710
45,0.018750000,1967,-1.245539044
46,0.019166667,1999,-0.832730641
47,0.019583333,2031,-0.419922238
48,0.020000000,2064,0.005786428
49,0.020416667,2096,0.418594831
50,0.020833333,2128,0.831403234
51,0.021250000,2160,1.244211637
52,0.021666667,2193,1.669920303
53,0.022083333,2225,2.082728706
54,0.022500000,2257,2.495537110
55,0.022916667,2290,2.921245775
56,0.023333333,2322,3.334054178
57,0.023750000,2354,3.746862582
58,0.024166667,2387,4.172571247
59,0.024583333,2419,4.585379651
60,0.025000000,2451,4.998188054
61,0.025416667,2419,4.585379651
62,0.025833333,2387,4.172571247
63,0.026250000,2354,3.746862582
64,0.026666667,2322,3.334054178
65,0.027083333,2290,2.921245775
66,0.027500000,2257,2.495537110
67,0.027916667,2225,2.082728706
68,0.028333333,2193,1.669920303
69,0.028750000,2160,1.244211637
70,0.029166667,2128,0.831403234
71,0.029583333,2096,0.418594831
