bin,frequency_hz,magnitude_v
0,0.000000000,0.042320802
1,10.000000000,0.083314196
2,20.000000000,0.083314196
3,30.000000000,0.083314196
4,40.000000000,0.083314196
5,50.000000000,6.364376095
6,60.000000000,0.083314196
7,70.000000000,0.083314196
8,80.000000000,0.083314196
9,90.000000000,0.083314196
10,100.000000000,0.083314196
11,110.000000000,0.083314196
12,120.000000000,0.083314196
13,130.000000000,0.083314196
14,140.000000000,0.083314196
15,150.000000000,2.120593530
16,160.000000000,0.083314196
17,170.000000000,0.083314196
18,180.000000000,0.083314196
19,190.000000000,0.083314196
20,200.000000000,0.083314196
21,210.000000000,0.083314196
22,220.000000000,0.083314196
23,230.000000000,0.083314196
24,240.000000000,0.083314196
25,250.000000000,1.271623859
26,260.000000000,0.083314196
27,270.000000000,0.083314196
28,280.000000000,0.083314196
29,290.000000000,0.083314196
30,300.000000000,0.083314196
31,310.000000000,0.083314196
32,320.000000000,0.083314196
33,330.000000000,0.083314196
34,340.000000000,0.083314196
35,350.000000000,0.908083691
36,360.000000000,0.083314196
37,370.000000000,0.083314196
38,380.000000000,0.083314196
39,390.000000000,0.083314196
40,400.000000000,0.083314196
41,410.000000000,0.083314196
42,420.000000000,0.083314196
43,430.000000000,0.083314196
44,440.000000000,0.083314196
45,450.000000000,0.706923384
46,460.000000000,0.083314196
47,470.000000000,0.083314196
48,480.000000000,0.083314196
49,490.000000000,0.083314196
50,500.000000000,0.083314196
51,510.000000000,0.083314196
52,520.000000000,0.083314196
53,530.000000000,0.083314196
54,540.000000000,0.083314196
55,550.000000000,0.580252393
56,560.000000000,0.083314196
57,570.000000000,0.083314196
58,580.000000000,0.083314196
59,590.000000000,0.083314196
60,600.000000000,0.083314196
61,610.000000000,0.083314196
62,620.000000000,0.083314196
63,630.000000000,0.083314196
64,640.000000000,0.083314196
65,650.000000000,0.494490584
66,660.000000000,0.083314196
67,670.000000000,0.083314196
68,680.000000000,0.083314196
69,690.000000000,0.083314196
70,700.000000000,0.083314196
71,710.000000000,0.083314196
72,720.000000000,0.083314196
73,730.000000000,0.083314196
74,740.000000000,0.083314196
75,750.000000000,0.434206600
76,760.000000000,0.083314196
77,770.000000000,0.083314196
78,780.000000000,0.083314196
79,790.000000000,0.083314196
80,800.000000000,0.083314196
81,810.000000000,0.083314196
82,820.000000000,0.083314196
83,830.000000000,0.083314196
84,840.000000000,0.083314196
85,850.000000000,0.391486397
86,860.000000000,0.083314196
87,870.000000000,0.083314196
88,880.000000000,0.083314196
89,890.000000000,0.083314196
90,900.000000000,0.083314196
91,910.000000000,0.083314196
92,920.000000000,0.083314196
93,930.000000000,0.083314196
94,940.000000000,0.083314196
95,950.000000000,0.362016526
96,960.000000000,0.083314196
97,970.000000000,0.083314196
98,980.000000000,0.083314196
99,990.000000000,0.083314196
100,1000.000000000,0.083314196
101,1010.000000000,0.083314196
102,1020.000000000,0.083314196
103,1030.000000000,0.083314196
104,1040.000000000,0.083314196
105,1050.000000000,0.343403624
106,1060.000000000,0.083314196
107,1070.000000000,0.083314196
108,1080.000000000,0.083314196
109,1090.000000000,0.083314196
110,1100.000000000,0.083314196
111,1110.000000000,0.083314196
112,1120.000000000,0.083314196
113,1130.000000000,0.083314196
114,1140.000000000,0.083314196
115,1150.000000000,0.334373392
116,1160.000000000,0.083314196
117,1170.000000000,0.083314196
118,1180.000000000,0.083314196
119,1190.000000000,0.083314196
